Review,Sentiment
"WHAT TO TRY?!

The Mexican corn!! I love their corn with that wonderful seasoning! The quesadillas are are also delicious too especially when it comes piping hot and the tortilla is lightly pan fried. The sauce is a great mix which makes it more flavourful. 

I liked the baja fried fish tacos the most out of all the tacos because it had the right combination of garnishes and the tortilla is corn over flour. The bulgogi taco was a bit too sweet for my liking tho. It is flavorful and full of sauce but the marinade they used for that taco may be too much. 

I also tried the avocado taco. It's a grilled quarter piece of avocado in the tortilla. I would have liked it if it wasn't that big of a chunk tho because although outside is grilled, inside is just plain old avocado. Having sliced a bit more thinner would have been nicer. 

The mushroom taco is a good vegetarian alternative for tacos and comes with great flavour. Lots of mushrooms but it's not some fancy mushrooms. Just regular mushrooms though. 

The asada, pork and chicken tacos are always a good staple to have for tacos. They are cooked with a lot of flavours which are great!

LAST TIP?!

They have water for free so if you are fine with water as a refreshment, then don't have to worry about ordering any other drinks. Quesadillas come with guacamole and chips on the side so no need to order more guacamole and chips as a snack! However tacos only come with chips, no complimentary guacamole - just something to keep in mind!",2
"I visited this place on a weekday evening. They don't have any table reservations and it's the first come basis. You place your order on the counter and then go and find yourself a table. The food is delivered at the table. There is a common area where water & cutlery is available for self service.

The place stands out from the other Mexican places because of their Salsa counter. They have 7 different kinds of Salsas which are free with your meal. Try some of the spicy salsas at your own risk. Their Ghost Salsa is extremely spicy. Now, let's talk about food. I tried their Veggie Burrito, Mushroom Tacos & Grilled Avocado Taco. The portion sizes were good and value for money. They serve complimentary tortilla chips with every entree. Burritos had a quinoa filling but you can upgrade to rice for 1 dollar. Tacos were really good with a nice blend of sauces. For my taste buds, burrito felt a little dry though. Overall, a nice place to try some Mexican options.",2
"I would give this resto ten stars if I could. 

The food is to die for. 

You walk in and they have the menu up on the wall but they also have more detailed menus you can  hold and chose from. 

They have wine and margaritas on draft. The Pinot Grigio is wonderful. 

The Mexican street corn is the best dish I've had to eat in a long time. 

The fish taco is hands down the best taco I've ever had. 

They have over 40 different styles of hot sauce, and then they have 8 different sauces you can scoop and bring with you. The pineapple mango and the habanero ones are really  tasty. 

Very cute decor.
The bathrooms are unisex and very clean. 
The staff is high energy and good vibes.",2
"The menu is simple and the atmosphere has good vibes. Casual but hip decor. And gender neutral bathrooms. Street style tacos, cafeteria style dining, and self service sauce bar.

You order and pay at the front, take your table flag, and they bring the food to you.

We tried the Mexican corn and 3 of their tacos. The Mexican corn had a nice amount of seasoning and a very good presence of lime. Tart and flavourful, with a slight kick. 

The carne asada was my favourite. It has a good flavour and in my opinion embodies the essence of what the standard beef taco should taste like. 

The al pastor had meat which was very juicy, and the pineapple provides a good bit of sweet and tang to help cut through the tortilla. Although the meat was juicy, the taco itself was very dry in the mouth. But a little extra lime, and it was a more enjoyable experience.

The unoriginal had a nice flavour, but it wasn't memorable enough for me to note anything other than ""its chicken, and it tastes pretty good""

Overall a good place for a quick bite or a meetup with a few drinks. If you go, make sure to stock up on extra lime.",2
"This place is always packed, and tonight I found out why.

Wilbur is casual; you order your tacos, burritos, or quesadillas at the counter and you find whatever seating you can (you'll most likely have to share a table with strangers). 

However, this is not a Chipotle:

- The prices are definitely higher...
- .... But the quality of food is immeasurably better (we're talking buttery, flaky, crispy fish tacos and a burrito bowl expertly mixed with guac, carne asada and queso fundido all grooving together)
- They have margaritas on tap - and they're actually AWESOME

Don't worry about the line, it moves fast. Just go!",2
"Simple, fast, delicious. This place is super popular and has lines that extend out the door (for good reason!) but it moves fast and is worth the short wait. Free salsa and hot sauce bar are an awesome addition.",2
"Really good tacos.
Must try bulgogi beef tat I, if you can handle a little bit spicy.
Pork taco is also very good.
Maybe want to try fish ones too.
All tacos come with a few chips. But there have many different salsa you can try.

Overall the flavour is strong and tasty.
A little bit pricy, I saw somewhere the menu showed 3.5 each, but is at least 4.5 each.

A little bit long waiting time, and you need to find your own seats. But it's good environment and really food, definitely worth waiting.",2
"Came here early for dinner on a weekend so there weren't too many people. But when we started to leave there was a line to order and not enough seats.

You order in front, get seated and they will bring you your order. The service was quick and friendly. 

We ordered the elotes and every taco on the menu. 
Favourites:
- elotes - creamy, sweet and savoury but kind of pricey for one corn 
- the unoriginal 
- carne asade
- baja fish 
- All the meats have great flavour, and not dry. Fish was nicely fried to a light crunch.

I love the salsa bar! So many options! I especially love the pineapple salsa, gave a nice sweet punch to some tacos. 

The seating area is not that large but it is fast-paced whereas people leave after they finish. 

Tacos are ok size, probably would have to order 3 to be full. I would say the price is not as bad as other places. I'd love to come back and try their other items!",2
"Great spot if you wanna get some quick tacos or burritos.

There was a huge variety of options to order and al for a fair price however there was a huge lack of flavour in anything you ate until you added sauces from their sauce bar(which was great). I felt like I was getting grilled vegetables flavoured with salt and wrapped in a tortilla. 

My stars are really going towards the tomatillo sauce which really saved the day.",1
"Wilbur Mexicana is a vibrant taqueria located on King West, great for grabbing a quick bite before going out nearby in the area. There's always a line but it's always worth it. You can either grab your tacos for takeout or eat-in where staff bring your food over to you after paying up front. Tacos here are very reasonably priced, ranging from $3.95-4.95. 

I got The Unoriginal, a chicken taco, and a Carne Asada (Steak). Both were amazing but the clear standout was the Carne Asada. It was packed with flavour; the meat was smokey and savoury but also very tender and soft. It was nicely complimented with some pico de gallo, queso fundido and crispy onions. 

What makes Wilbur Mexicana unique in terms of taco joints is their wide array of sauces they have to offer. They have, i think, 6 or 7, homemade sauces ranging from pico de gallo to ghost pepper available for you to grab as much of. They also have a whole shelf of bottled sauces, at least 20-30+ unique ones if I had to guess. So if you like your tacos packed with heat, Wilbur is definitely a place to try!",2
"One of our favourite taco spots in the city. Just go there for true hot sauce bar. Truly fantastic.
Their tacos are so delicious. I think we have tried all the different kinds and each one is so good! My absolute favourite is the fish though. The chicken comes in a close second. Burritos are also super delicious. With a great variety of toppings and just perfectly rolled, truly very satisfying.
Service is super fast and nice. The vibe is so nice, casual yet fancy.  Drinks on tap, beer and wine available. Highly recommend for great tacos!",2
"My favourite Mexican fast food restaurant! By fast food, I mean you order and pay upfront (with no tip necessary) and they will bring the food when ready.

Seating is limited so sharing the table with others is needed. However given it is fast food restaurant, a lot of people choose to grab and go instead. The deco is very friendly and has the casual Mexican vibe. 

Last time I was here I ordered the $4.5 classic taco. It came with chips that you can dip in a varieties of free salsa (some spicy, some refreshing and none to complain about) and hot sauce. I think it is good value and quite tasty. However the lady who we shared the table with ordered the Fajita, a ""sizzling"" skillet that is worth being jealous over. 

So when we went there tonight, I did not hesitate to order the chicken Fajita and wow it did not disappoint. The skillet was sizzling hot when presented. You can hear the sizzling sound and smelled amazing. The chicken is flavourful with some peppers and onion. The chicken by itself could have been too oily or too salty but the skillet came with taco bread, guacamole (amazingly fresh and probably made in store) and fresh lettuce. I was really impressed by this dish and definitely became one of my favourite.

I think this place could be busy sometime and the wait time would be long. But with food this good (and free salsa), I think it is worth the wait. I will definitely will go back :)",2
"Since my first Wilbur visit I have ventured back my times and each better then the last!

The Fajitas in general are outstanding and at 18$ they make for good value too considering you can share easily

Ohhh and chips with Guac are a must!

........me encanta.",2
"For what this spot is, it's fine. It's a King Street taco spot serving the King West crowd. Meaning, it's a bit overpriced (my dining companion asked me ""Are you SURE you only want 3 tacos...?"" while I was ordering) and a bit gimmicky for my liking. To be fair, I was coming off of having some fabulous tacos a couple of days ago at a little neighbourhood takeout where they mostly serve Latinx locals, AND I'm generally not a fan of anything fusion.

You grab a table and then line up to order and pay cafeteria-style. Then you go to the salsa bar for a very good variety of salsas and pico de gallo. Servers bring the food when it's ready. 

The food itself was fine, though don't order the grilled avocado if you don't eat dairy. It's literally just a grilled avocado. Even a healthy amount of pico de gallo and salsa couldn't save it. I found the tortillas really dry.

Atmosphere is cool and the people watching is pretty great. It was very busy with the after-work crowd. I don't think I'd return if I was craving tacos, but I would definitely hang out on their expanded sidewalk patio for a drink and some chips and guacamole.",1
"Nice little spot for a casual lunch with friends! Lots of different options for tacos, and the ones I tried were delicious!",2
"I found this place after simply yelping tacos in the area. Wilbur had amazing reviews so we decided to walk to this place from the CN Tower. When we got there the line was out the door and around the corner so we knew it was a popping place. 

The highlight of this restaurant is the salsa bar. There was over 8 sauces ranging from mild to spicy. 

Elote 5/5
I LOVE elote! This dish came with two corn on the cobs that were generously smothered in cheese, sauce and greatness. 

Fish taco 5/5 
It was lightly battered with slaw on top and my boyfriend added the verde salsa on top. 

California burrito with steak 5/5
The portion was huge. It had great flavors and we added the haberno salsa on top. 

Grilled avocado taco 5/5
I love avocados so this taco was perfect. I added the ghost salsa on top and it was amazing. 

Each dish comes with a side of chips. Pricing is reasonable and there is plenty of choices on the menu.",2
"Absolutely the most delicious and fresh Mexican food that is affordable and in a sit down place with great service. I could go on and on and on about how much I love Wilbur. This place ticks all the boxes for me. It's a lowkey place with great food but not too lowkey so you don't have to hold your food in your hand while eating on the sidewalk because they only have room for 2 inside. 

You order at the front and take a table number and they bring your food to you. I've tried their veggie burrito, veggie tacos, chips and salsa and chips and queso. I honestly think you can't go wrong here, everything I've had has been delicious. I would highly recommend their hot sauce bar, you have access to a large variety of hot sauces, and they're even ordered by level of spiciness. What I like to do is a pseudo hot ones challenge with the different hot sauces and tortilla chips. I'd also highly recommend exploring the salsa bar, the ghost pepper salsa is delicious!

The overall vibes of Wilbur makes it a cool place to hang out and its clear a lot of people feel this way because there's normally a line out the door to get in. I'll definitely be revisiting, this is one of my favourite spots in city.",2
"Gringo af. Lunch and dinner lines go out the door. Don't come here for your undersalted chips and measly-portioned guac. The meat was kind of too salty and even having three tacos made me want a fourth. I guess it's FINE that there's fish tacos but it's kind of overrated. Where is the cilantro?!?! 

I have had better. It's got an Assembly Chef's Hall vibe. It's loud, jammed full of working professionals. Only come here if everything else is closed.",1
I have been going to Como En Casa for at least a few years now. I mostly get take out but have also dined in as well. The food is always authentic and fresh. The prices are fair for the generous servings. My go to selection is the pork burrito and I have never been disappointed. The staff are friendly and welcoming.,2
"Great tasting, authentic Mexican food! I ordered the 12"" burrito with pork that was tender beyond belief. 
The rice and beans were on point as well! 


The staff were also very friendly and I look forward to supporting this local business again :)",2
"Important !!!! The menu on Yelp is NOT up to date. The prices have changed significantly (I've attached the latest menu). 

Was a tad bit slow to get started (host was talking to a couple eating, when we went to go get a menu ourselves the host told us to wait and he would bring us a menu, but then proceeded to talk to continue talking to the couple for a little bit). Asides from this, service was very good and the host was very generous.

I proceeded to purchase the chicken mole which was very good. The sauce was definitely the best part, it wasn't necessarily sweet or salty, it was just good. This was accompanied by some dark meat chicken which was very tender as well - not so much seasoned but the sauce was enough. The rice and beans were solid as well. Would definitely come here again next time I'm in Toronto",2
"Rating: 3/5

Summary: 
We believe this restaurant is worth a visit if in the area. We have frequented this place multiple times and there is a reason we keep coming back. The service is extremely friendly and the atmosphere, though tight, is rather warm and welcoming. However, one must be careful when picking their dish because while some taste wonderfully flavorful, others are somewhat disappointing.

The dishes we tried: 
- burrito w/ verde sauce
- fish tacos
- chicken enchiladas
- chicken mole
- guac/salsa w/ chips
- mains circa $12-15
- appetizers circa $6-8

Food:
One of our favorite dishes is the Burrito with Verde Sauce. It's a big hot burrito packed with many flavors. What makes it special, however, is the verde sauce that complements the burrito very well. The verde sauce is a tangy and spicy sauce that consists of tomatillos, jalapenos, and lime. You probably won't get burritos smothered with a delicious sauce at other places where you'd think of getting a burrito (Chipotle, etc.). We'd also point out that the Guacamole tastes extremely fresh with a great rich and creamy feel. The chunky and spicy salsa is also great. The two dipping sauces pair well with the tortilla chips and is worth considering if looking for an appetizer.

However, we were disappointed with some of the dishes we ordered. For example, the enchiladas and chicken mole did not satisfy at all. As for the enchiladas, the ones we had were filled with extremely dry chicken and the wrap itself was also unappetizing.

On a positive note, the service is remarkable. The owner once even gave us a free refill for our horchata (a most delightful sweet drink consisting of rice, vanilla, and cinnamon). The servers are very kind and patient, thus contributing to a better dining experience.

Conclusion: 
Google reviews rates this as a 4.5/5. We give it a 3/5. It's worth a visit if in the area, but there are only certain dishes worth eating. We recommend the chicken or burrito with verde sauce and the horchata.

For more quality pictures and honest reviews, follow us on Instagram @pchan_and_sam_reviews. We hope you like our content!",1
"I walked by this tiny whole in the wall for about a year before finally checking it out and i'm definitely glad i did! There seemed to be a lot of regulars, lots of people grabbing take out and got packed pretty quick. 

 I got the hybrid burrito which came with two kinds of salsas, and got it with half steak and half pulled pork,  which i'd highly recommend. the portions were huge and surprisingly affordable. Be careful with the special house salsa that is on all the tables, it's amazing but definitely adds a kick!!",2
"Came here with my Spanish class of 7 after our last class. All 7 out of 7 of us polished our plates until it was shiny clean.

I ordered the tamales with mole chicken, with rice and beans. It came with a side of salsa, which I had refilled. BEST RICE AND BEANS I'VE EVER HAD!!! Want to cry just thinking about it. It was a revelation. And the tamales were very aromatic. The salsa was just the perfect kick to tie it all together.

Basically the best Mexican food I've ever had in Toronto.",2
"We were around the area and we were craving authentic Mexican food and boy we were glad we found this place! The portion is generous and the food is very affordable! I love how the burrito is on a plate sauced all over the burrito. The burrito was very flavourful and it wasn't dry at all! 

Definitely will go back here again.",2
"Como En Casa is a cheap and cheerful place to get a spicy lunch or supper fix. Recently, I enjoyed a three taco meal with beans and rice. It was filling, tasty and hit the spot. Nothing mind blowing here, but it's delicious no frills Mexican. Bonus points for being on Uber Eats.",2
"This is one of my favourite little spots to hit up in core downtown Toronto when I'm just looking for something quick to eat. 

The restaurant is small, crowded in feel, so get close to you next table neighbour. The cashier and perhaps owner or family member of the owner, like to point out the picture version of the menu to the right of the door as you enter. Portions sizes are large enough to give you your fill for lunch. 

I got the fish tacos. Well fried with a well seasons fish, which is sweet and moist. There is like a coleslaw that tops it along with pickled onion slices. All of this along with hot sauces creates this lovely mix of salty, umami, sweet, sour, and spicy. What a delight. This is all held together by two 6"" corn tortilla, which in my opinion is a little small for the size of the fish. 

The Jamaica is made from hibiscus and is sweet, earthy, and tart and is a lovely refreshing beverage for nice summer day. 

The one critique is the price but I mean prices are just generally higher everywhere no a days. But the price combined with the small space that forces intimacy between strangers keep this space from being a full 5 stars. The food and the service make this place a 4.5 star location for me.",2
"Came here for a quick dinner after work with my girlfriend and we were pleasantly surprised with the food!

You order your food at the counter and they bring the food to your table. 

We got a quesadilla and a taco dinner plate. The price for the amount of food you get was great, especially in downtown! 

The workers were very friendly and happy to answer any questions we had about the menu. Our food was better than what expected and met our Mexican food cravings! Definitely will come again!",2
"Found this place by chance...and really glad I did. I can't say that I'm an expert on Mexican food, but I know good quality food when I eat it...and this was really good. I've had Mexican food a number of times, and would say this was best by far. Very small, and certainly not high end interior, but cozy.  Great place for a quick, well priced and delicious bite. I'll be back.",2
"TLDR: Fantastic staff and service, good homey atmosphere and some of the best Mexican I've had in Toronto.

I came here after work one day for dinner. Upon walking in the menu is on a giant poster to your right and it lists out a couple options (no more than 20) and you order and pay at the counter before getting served. As soon as I walked in one of the staff immediately greeted me and welcomed me to the restaurant. I don't usually comment on service, but the service I revived from multiple staff at Como En Casa was absolutely amazing and therefore noteworthy.

I got the enchiladas ($13), which came with rice and beans as well. The chicken enchiladas came in threes with the mole sauce surrounding it, a white sauce drizzled on top of it and some lettuce and a type of cheese stacked on top if it as well. The chicken inside was very soft and overall the enchiladas were delicious. The mole added a nice kick to it as well. The rice was well-seasoned and very tasty and I could've easily downed a couple more servings of it. I'm not usually a bean guy, but the beans were prepared very well here as well. They were mashed to a thick-ish consistency and the taste of the beans was not overwhelming, which I usually find at other restaurants. The meal also came with a homemade mild-hot sauce which was also very good. I think my only complaint is that the portions could've been a bit larger (at least for the rice and beans, which are pretty cheap). However, the meal was good enough to make it worth the price anyways. 

I'll definitely be back to try the rest of the menu.",2
"Super friendly staff, if i could give it ten stars I would. Amazing food great atmosphere. There isn't a bad thing I could say about this place one of my favourite restaurants!",2
"$16 dollars for the worst burrito bowl/platter ever, are you friggin kidding me. Maybe because it was take out but that's hardly an excuse. The portion size is just pathetic, and the chicken was pretty dry even though it was fairly flavorful. It's not value for the money at all, highly disappointing. Go look at the photo and tell me if that's worth it. At least try a little.",0
